number,circumference (mm),height (m)
1,322,10.4
2,253,10.6
3,273,10.8
4,221,10
5,148,7.5
6,343,11.6
7,223,10.4
8,264,9.9
9,198,9
10,100,4.7
11,238,9.3
12,270,10.3
13,118,6.1
14,230,9.8
15,287,10.3
16,231,9.7
17,0,0
18,249,10
19,177,8.5
20,219,9.4
