number,circumference (mm),height (m)
1,209,8.9
2,208,8.6
3,196,8
4,278,10
5,226,9.5
6,239,9.3
7,210,9
8,216,8.8
9,210,8.8
10,260,10
11,275,10.3
12,283,10.3
13,196,9.3
14,275,10.4
15,170,8.3
16,225,9
