number,circumference (mm),height (m)
1,172,8.8
2,306,10.5
3,241,10
4,241,10.4
5,250,10.3
6,0,0
7,230,10
8,330,11.4
9,252,11
10,270,10.8
11,205,9.5
12,222,9.5
13,181,8.6
14,0,0
15,310,11
16,0,0
17,240,10.6
18,273,11
19,270,10.4
20,149,7.8
