number,circumference (mm),height (m)
1,264,9.9
2,249,9.8
3,229,9.7
4,204,9.7
5,192,8.5
6,219,9
7,212,8.9
8,220,9
9,250,8.9
10,186,8.3
11,172,7.9
12,270,9.4
13,224,9.4
14,269,10.2
15,170,8.3
16,279,9.8
