number,circumference (mm),height (m)
1,783,25.8
2,481,21.2
3,452,22.6
4,527,23.2
5,393,19.2
6,471,20.8
7,385,18.5
8,342,16.2
9,381,17.3
10,232,11.8
11,432,20.4
12,444,20.4
13,548,23.5
14,235,12.2
15,269,13.2
16,459,20.8
17,427,19.7
18,446,20.9
19,36.5,18
20,417,19.8
